component_package,what_it_does,pages_using_count,pages_using,presentation_only_or_behavior,has_view,has_viewmodel,has_contract,has_fixtures,preview_route,shared_foundation,notes
components/studio/create/wardrobe/outfit-picker,Modal that fetches and displays owned outfit creations for selection with search filtering,4,/studio/create/character; /studio/create/player-character; /studio/create/wardrobe; /studio/my-creations/[id]/edit,behavior,yes,yes,yes,yes,/dev/ui-preview/outfit-picker,no,Fetches outfit creations via fetchOwnedCreations
components/studio/create/wardrobe/OutfitPickerModal.jsx,Wrapper component for outfit picker modal,4,/studio/create/character; /studio/create/player-character; /studio/create/wardrobe; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/creations/creation-stats-row,"Renders engagement stats row (likes, messages, images, videos) from creation stats object",4,/studio/community; /studio/creations/[id]; /studio/my-creations; /studio/profile/[username],presentation_only,yes,yes,yes,yes,/dev/ui-preview/creation-card,no,
components/studio/creations/creation-status-badges,"Displays status badges (visibility, approval, canon status, rating) derived from creation data",4,/studio/community; /studio/creations/[id]; /studio/my-creations; /studio/profile/[username],presentation_only,yes,yes,yes,yes,/dev/ui-preview/creation-card,no,
components/ui/crestfall-option-modal,Modal dialog for selecting from grouped/searchable options with custom entry support,4,/studio/create/character; /studio/create/character-template; /studio/create/player-character; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/crestfall-option-modal,no,
components/studio/create/assets/asset-builder,Visual asset builder form that saves drafts and manages image generation candidates,3,/studio/create/image-preset; /studio/create/outfit; /studio/create/pose,behavior,yes,yes,yes,yes,/dev/ui-preview/asset-builder,no,Creates asset draft via createVisualAssetDraft
components/studio/create/assets/AssetBuilderShell.jsx,Wrapper shell component for asset builder implementation,3,/studio/create/image-preset; /studio/create/outfit; /studio/create/pose,presentation_only,no,no,no,no,,no,
components/studio/create/character/character-color-palette,Modal for selecting and customizing character color palette,3,/studio/create/character; /studio/create/player-character; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/character-color-palette,no,
components/studio/create/character/CharacterColorPaletteModal.jsx,Wrapper component for character color palette picker,3,/studio/create/character; /studio/create/player-character; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/create/character/hair-eyes,Modal for selecting character hair and eye appearance options,3,/studio/create/character-template; /studio/create/player-character; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/hair-eyes,no,
components/studio/create/character/HairEyesModal.jsx,Wrapper component for hair and eye feature picker,3,/studio/create/character-template; /studio/create/player-character; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/create/character/kibbe-preset,Modal for selecting Kibbe silhouette identity with body trait suggestions,3,/studio/create/character; /studio/create/character-template; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/kibbe-preset,no,
components/studio/create/character/KibbePresetModal.jsx,Wrapper component for Kibbe body type preset picker,3,/studio/create/character; /studio/create/character-template; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/create/character/multi-trait,Modal for selecting multiple character traits simultaneously,3,/studio/create/character; /studio/create/character-template; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/multi-trait-modal,no,
components/studio/create/character/MultiTraitModal.jsx,Wrapper component for multi-trait selector,3,/studio/create/character; /studio/create/character-template; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/create/character/personality,Modal for selecting character personality archetype with custom option,3,/studio/create/character; /studio/create/character-template; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/personality,no,
components/studio/create/character/PersonalityModal.jsx,Wrapper component for personality trait picker,3,/studio/create/character; /studio/create/character-template; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/creations/buildModalCreationFromPreviewGraph.jsx,Utility function transforming creation preview graph data into modal display format,3,/studio/community; /studio/my-creations; /studio/profile/[username],presentation_only,no,no,no,no,,no,
components/studio/creations/creation-card,"Card component displaying creation with preview modal, chat start, and default character set options",3,/studio/community; /studio/my-creations; /studio/profile/[username],behavior,yes,yes,yes,yes,/dev/ui-preview/creation-card,no,"Fetches creation preview, starts story chat, sets default player character via fetchCreationPreview, startStoryFromCreation, setDefaultPlayerCharacter"
components/studio/creations/creation-credits,Renders creation credits section with creator attribution links,3,/studio/community; /studio/my-creations; /studio/profile/[username],presentation_only,yes,no,yes,yes,/dev/ui-preview/creation-credits,no,
components/studio/creations/creation-preview-modal,Modal displaying creation details with chat and default character actions,3,/studio/community; /studio/my-creations; /studio/profile/[username],behavior,yes,yes,yes,yes,/dev/ui-preview/creation-preview-modal,no,"Starts story chat and sets default player character via startStoryFromCreation, setDefaultPlayerCharacter"
components/studio/engagement/hooks/useCreationEngagementState.js,Hook that fetches creation reaction states and manages like/bookmark mutations,3,/studio/community; /studio/my-creations; /studio/profile/[username],behavior,no,no,no,no,/dev/ui-preview/community-hub,no,"Fetches and mutates engagement data via fetchCreationReactions, setCreationLike, setCreationBookmark"
components/studio/media/media-lightbox,"Lightbox viewer for media with details panel, report form, and engagement tracking",3,/studio/creations/[id]; /studio/image-studio; /studio/my-creations/[id]/image-library,behavior,yes,yes,yes,yes,/dev/ui-preview/media-history-grid,no,"Fetches image details and creates media reports via fetchImageOutputDetails, createMediaReport"
components/studio/media/media-tile-quick-actions,"Quick action buttons for media tiles (like, bookmark, expand)",3,/studio/creations/[id]; /studio/image-studio; /studio/my-creations/[id]/image-library,presentation_only,yes,yes,yes,yes,/dev/ui-preview/media-history-grid,no,
components/studio/profile/profile-avatar,Displays user profile avatar with fallback initial,3,/studio/account; /studio/profile/[username]; /studio/profile/[username]/connections,presentation_only,yes,no,yes,yes,/dev/ui-preview/profile-avatar,no,
components/studio/account/default-player-character-picker,Modal that fetches owned player characters for selection as default,2,/studio/account; /studio/story-rooms/[id],behavior,yes,yes,yes,yes,/dev/ui-preview/default-player-character-picker,no,Fetches owned player characters via fetchOwnedCreations
components/studio/account/DefaultPlayerCharacterPickerModal.jsx,Wrapper component for default player character picker modal,2,/studio/account; /studio/story-rooms/[id],presentation_only,no,no,no,no,,no,
components/studio/characters/actor-mechanics-profile-attachment,Section view for displaying and managing attached actor mechanics profiles with add/remove and domain configuration UI.,2,/studio/create/npc-registry; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/actor-mechanics-profile-attachment,no,
components/studio/characters/ActorMechanicsProfileAttachmentSection.jsx,Section component for attaching reusable mechanics profiles to actors with a linked-creation picker modal.,2,/studio/create/npc-registry; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/characters/advanced-prompting/advanced-prompting,Editor for character advanced prompting and system instruction customization,2,/studio/create/character; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/advanced-prompting,no,
components/studio/characters/advanced-prompting/AdvancedPromptingEditor.jsx,Wrapper component for advanced prompting editor,2,/studio/create/character; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/community/creator-engagement-actions,"Action row displaying engagement buttons (like, bookmark, follow) for creators",2,/studio/community; /studio/profile/[username],presentation_only,yes,yes,yes,yes,/dev/ui-preview/creator-card,no,
components/studio/create/actor-mechanics-profile/actor-mechanics-profile-editor,Editor interface for character actor mechanics profile data,2,/studio/create/actor-mechanics-profile; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/actor-mechanics-profile-builder,no,
components/studio/create/actor-mechanics-profile/actor-mechanics-profile-json-editor,JSON code editor for actor mechanics profile with validation and AI authoring guide,2,/studio/create/actor-mechanics-profile; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/actor-mechanics-profile-builder,no,
components/studio/create/character/constants/voiceModules.js,Constants file defining available voice module options and configurations,2,/studio/create/character; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/create/character/default-clothing-selector,Selector component for character default clothing outfit,2,/studio/create/character; /studio/create/player-character,presentation_only,yes,yes,yes,yes,/dev/ui-preview/default-clothing-selector,no,
components/studio/create/character/eye-color,Modal dialog for selecting character eye color from predefined options or custom input with validation.,2,/studio/create/character; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/eye-color,no,
components/studio/create/character/EyeColorModal.jsx,Bridge component that wraps eye color modal view with its viewmodel to manage eye color selection state.,2,/studio/create/character; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/create/character/hair,"Modal dialog for selecting character hair color, length, and texture with predefined options and custom input support.",2,/studio/create/character; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/hair,no,
components/studio/create/character/HairModal.jsx,Wrapper component for hair style picker modal,2,/studio/create/character; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/create/character/voice-module-picker,Modal for selecting character voice module from available options,2,/studio/create/character; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/voice-module-picker,no,
components/studio/create/character/VoiceModulePickerModal.jsx,Wrapper component for voice module picker modal,2,/studio/create/character; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/create/location-registry/location-registry-builder,"Full-featured location registry builder with data fetching, form management, and save functionality for creation drafts.",2,/studio/create/location-registry; /studio/my-creations/[id]/edit,behavior,yes,yes,yes,yes,/dev/ui-preview/location-registry-builder,no,"Imports and uses lib/client functions (createCreationDraft, fetchOwnedCreations, updateCreationDraft) for data persistence and remote operations."
components/studio/create/lore/lore-json-editor,"Modal dialog for editing raw lore JSON with validation, copy-to-clipboard, guide download, and error reporting.",2,/studio/create/lore; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/lore-json-editor,no,
components/studio/create/narrator/narrator-module-selector,Interface for selecting official prebuilt narrator style and behavior modules with response direction and ensemble controls.,2,/studio/create/narrator; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/narrator-builder,no,
components/studio/create/narrator/narratorModulePresets.js,"Preset definitions for narrator modules including prose style, detail level, pacing, response direction, and ensemble options.",2,/studio/create/narrator; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,/dev/ui-preview/narrator-builder,no,
components/studio/create/npc-registry/alias-rule,Renders a form modal for creating alias rules with name and target character identity fields.,2,/studio/create/npc-registry; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/alias-rule,no,
components/studio/create/npc-registry/AliasRuleModal.jsx,Wrapper component that delegates to a viewmodel to compose the alias rule modal view.,2,/studio/create/npc-registry; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/create/npc-registry/knowledge-rule,"Renders a form modal for defining knowledge rules with subject, knowledge level, and character identities that know or suspect the knowledge.",2,/studio/create/npc-registry; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/knowledge-rule,no,
components/studio/create/npc-registry/KnowledgeRuleModal.jsx,Bridge component wrapping knowledge rule modal view with its viewmodel for managing NPC knowledge definitions.,2,/studio/create/npc-registry; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/create/npc-registry/modal-actions,Action button row for NPC registry modals with save/cancel or confirm/cancel operations.,2,/studio/create/npc-registry; /studio/my-creations/[id]/edit,presentation_only,yes,no,yes,yes,/dev/ui-preview/alias-rule,no,
components/studio/create/npc-registry/modal-shell,"Modal wrapper component providing title, close button, and scrollable content container for NPC registry dialogs.",2,/studio/create/npc-registry; /studio/my-creations/[id]/edit,presentation_only,yes,no,yes,yes,/dev/ui-preview/alias-rule,no,
components/studio/create/npc-registry/npc-entry,Modal dialog for creating/editing lightweight NPC entries with character linking option and mechanics profile attachment.,2,/studio/create/npc-registry; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/npc-entry,no,
components/studio/create/npc-registry/NpcEntryModal.jsx,Wrapper component composing NPC entry modal view with optional actor mechanics profile attachment section.,2,/studio/create/npc-registry; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/create/npc-registry/RegistryUtils.jsx,"Reusable form input components (TextInput, TextArea, SelectInput) for NPC registry modal dialogs.",2,/studio/create/npc-registry; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,/dev/ui-preview/alias-rule,no,
components/studio/create/npc-registry/relationship-rule,"Modal dialog for editing NPC relationship rules including relationship type, history, and dynamic bond variables.",2,/studio/create/npc-registry; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/relationship-rule,no,
components/studio/create/npc-registry/RelationshipModal.jsx,Bridge component wrapping relationship rule modal view with its viewmodel for managing NPC relationship definitions.,2,/studio/create/npc-registry; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/create/progression/progression-json-editor,Modal for directly editing progression profile JSON with validation and AI authoring guidance.,2,/studio/create/progression-profile; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/progression-json-editor,no,
components/studio/create/progression/progression-profile-editor,"Comprehensive editor for progression curves with support for generated curves, explicit tables, tier definitions, and experience thresholds.",2,/studio/create/progression-profile; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/progression-json-editor,no,
components/studio/create/room-template/room-registry-attachments-section,Renders a section for attaching room registry items to room templates with reference selection UI.,2,/studio/create/room-template; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/room-registry-attachments-section,no,
components/studio/create/room-template/story-rules-codex-attachments-section,Renders a section for attaching story rules and codex items to room templates with reference selection UI.,2,/studio/create/room-template; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/room-template-runtime-section,no,
components/studio/create/rules-codex/rules-codex-editor,"Visual editor for rules codex with support for rule definitions, optional JSON editor, and validation.",2,/studio/create/rules-codex; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/rules-codex-builder,no,
components/studio/create/rules-codex/rules-codex-json-editor,Modal for directly editing rules codex JSON with validation and AI authoring guidance.,2,/studio/create/rules-codex; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/rules-codex-builder,no,
components/studio/create/scenario/scenario-reference-picker,Modal for selecting existing scenario references with fixture data support.,2,/studio/create/scenario; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/scenario-reference-picker,no,
components/studio/create/scenario/ScenarioReferencePickerModal.jsx,Wrapper component that delegates to a viewmodel to compose the scenario reference picker modal.,2,/studio/create/scenario; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/create/scenario/scenarioRegistryBindings.js,Pure utility functions for managing scenario registry bindings and normalizing registry references.,2,/studio/create/scenario; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,/dev/ui-preview/scenario-builder,no,
components/studio/create/stats-pools/stats-pools-editor,Visual editor for stats pool configuration with threshold management and validation.,2,/studio/create/stats-pools-profile; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/stats-pools-builder,no,
components/studio/create/stats-pools/stats-pools-json-editor,Modal for directly editing stats pools JSON with validation and AI authoring guidance.,2,/studio/create/stats-pools-profile; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/stats-pools-builder,no,
components/studio/create/wardrobe/wardrobeUtils.js,Utility functions for wardrobe operations.,2,/studio/create/wardrobe; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/creations/creation-tag-filter-row,Horizontal row of tag filter buttons for filtering creations,2,/studio/community; /studio/my-creations,presentation_only,yes,no,yes,yes,/dev/ui-preview/creation-tag-filter-row,no,
components/studio/engagement/hooks/useProfileEngagementState.js,Hook that fetches profile reaction states and manages like/bookmark/follow mutations,2,/studio/community; /studio/profile/[username],behavior,no,no,no,no,/dev/ui-preview/community-hub,no,"Fetches and mutates profile engagement via fetchProfileReactions, setProfileLike, setProfileBookmark, setProfileFollow"
components/studio/my-creations/edit/creationEditConstants.js,Constants for creation edit functionality.,2,/studio/my-creations; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,/dev/ui-preview/my-creations-hub,no,
components/studio/my-creations/edit/sections/locations/location-sensory-environment-fields,"Form fields for editing location sensory environment properties including vision, hearing, and scent scales with descriptive guidance.",2,/studio/create/location; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/location-scene-atmosphere-section,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-command-core,"Editor for core command properties including name, description, domain lane assignment, and basic metadata.",2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/mechanics-command-core,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-command-domain-actions,"Editor for domain-specific actions executed during command phases across different mechanical domains (combat, social, etc).",2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/mechanics-command-domain-actions,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-command-effects,"Editor for command effects defining state changes (meter deltas, counters, status blocks) applied after command resolution.",2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/mechanics-command-effects,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-command-outcomes,Editor for command possible outcomes and success/failure narrative branches with result descriptions.,2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/mechanics-command-outcomes,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-command-requirements,Editor for command progression requirements defining which advancement tiers unlock or enable command execution.,2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/mechanics-command-requirements,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-command-resolution,"Editor for command resolution phase defining outcome logic, probability, and result handling after execution.",2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/mechanics-command-resolution,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-composition-builder,"Builder interface for composing command effects, conditions, and multi-step domain actions with reordering and scope management.",2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/mechanics-composition-builder,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-core,"Displays mechanics document compatibility validation results with contract version, phase, and fixture selection for testing.",2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/mechanics-document-core,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-defaults,Editor for mechanics module default values and fallback settings applied when commands do not specify explicit values.,2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/mechanics-defaults,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-document-orchestration,"Interface providing access to preset library, JSON editor, and validation for mechanics document bulk operations.",2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/mechanics-document-orchestration,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-guards,"Editor for mechanics guard rules with operations to add, remove, and edit conditions controlling command prerequisites.",2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/mechanics-document-core,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-json-editor,"Modal dialog for editing raw mechanics document JSON with validation, copy-to-clipboard, and AI authoring guide generation.",2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/mechanics-document-orchestration,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-module-assembly,"Orchestrator rendering mechanics document sections (core, guards, defaults, trackers, commands, presets) as tabs.",2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/mechanics-module-assembly,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-preset-application,"Modal for selecting and applying mechanics presets (modules, commands, resolution) with scope filtering and preview.",2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/mechanics-document-orchestration,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-preset-validation,Panel displaying live validation results and smoke test commands after applying a mechanics preset to verify runtime behavior.,2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/mechanics-document-orchestration,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-presets,"Preset library, catalog, application service, and validation logic for mechanics module starter templates and legacy compatibility.",2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,no,no,yes,no,/dev/ui-preview/mechanics-document-orchestration,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-progression-profile,Form fields for editing character advancement progression including tier definitions and ability unlocks.,2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/mechanics-command-effects,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-status-blocks,Editor for status effect blocks defining persistent conditions and how they modify character state and combat mechanics.,2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/mechanics-document-core,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanics-trackers,"Editor for game state trackers (meters, flags, counters, stages) and their initial values and progression rules.",2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/mechanics-module-assembly,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanicsCommandCompositionBuilder.js,"Builder module providing constants, creation functions, and normalization for command composition (conditions, phases, effects).",2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,/dev/ui-preview/mechanics-document-orchestration,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanicsCommandResolutionBuilder.js,Builder module providing utilities for constructing command resolution phase definitions and outcome calculations.,2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,/dev/ui-preview/mechanics-command-resolution,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanicsCommandStateReadoutBuilder.js,"Constants and utility functions defining how command state is formatted and displayed (AUTO, NUMBER, BOOLEAN, TEXT formats).",2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,/dev/ui-preview/mechanics-document-orchestration,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanicsEffectValueBindingBuilder.js,Constants and utility functions for binding effect values (fixed or argument-derived) with rounding and missing-value policies.,2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,/dev/ui-preview/mechanics-command-effects,no,
components/studio/my-creations/edit/sections/mechanics-modules/MechanicsModuleFieldsSection.jsx,Wrapper component coordinating the mechanics module assembly and replacing mechanics data through a unified interface.,2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,/dev/ui-preview/mechanics-module-assembly,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanicsProgressionProfileBuilder.js,Builder constants and utility functions for character progression profiles and advancement tier definitions.,2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,/dev/ui-preview/mechanics-command-effects,no,
components/studio/my-creations/edit/sections/mechanics-modules/mechanicsProgressionRequirementAuthoring.js,Utility functions for normalizing and parsing progression tier IDs in command requirement specifications.,2,/studio/create/mechanics-module; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,/dev/ui-preview/mechanics-command-requirements,no,
components/studio/my-creations/image-library/hooks/useCreationImageLibraryViewModel.js,"Manages creation image library state including fetching, filtering, sorting, and updating featured image assignments.",2,/studio/my-creations/[id]/edit; /studio/my-creations/[id]/image-library,behavior,no,yes,no,no,,no,
components/studio/registries/hooks/locationRegistrySaveSession.mjs,"Session manager tracking save state (inflight, pending) and creation IDs for coordinating location registry save operations.",2,/studio/create/location-registry; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/registries/hooks/useLocationRegistryBuilder.js,"Custom hook managing location registry data state, tab navigation, save sessions, and API calls for creation drafts.",2,/studio/create/location-registry; /studio/my-creations/[id]/edit,behavior,no,no,no,no,,no,"Imports and calls lib/client functions (createCreationDraft, fetchOwnedCreations, updateCreationDraft) and manages remote save operations with session tracking."
components/studio/registries/item-starting-assignment-editor,"Form fields editor for assigning item starting placement, holder type, and location-specific placement steps.",2,/studio/create/item-registry; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/item-starting-assignment-editor,no,
components/studio/registries/itemRegistryUtils.js,"Utility module providing constants and helper functions for item registry configuration, normalization, and validation.",2,/studio/create/item-registry; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,/dev/ui-preview/item-starting-assignment-editor,no,
components/studio/registries/locationRegistryUtils.js,"Utility module providing constants, builders, and normalization functions for location registry structure and validation.",2,/studio/create/location-registry; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/registries/npcRegistryUtils.js,"Utility functions for NPC registry entries including actor ID generation, mechanics profile attachment management, and normalization.",2,/studio/create/npc-registry; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/room-templates/hooks/useMutualPlayers.js,Fetches list of mutual players following the current user via client library.,2,/studio/create/room-template; /studio/my-creations/[id]/edit,behavior,no,no,no,no,,no,
components/studio/room-templates/hooks/useRoomTemplateReferenceData.js,"Fetches reference data for room templates including characters, scenarios, narrators, and locations.",2,/studio/create/room-template; /studio/my-creations/[id]/edit,behavior,no,no,no,no,,no,
components/studio/room-templates/roomTemplateUtils.js,"Pure utility functions for normalizing and building room template payloads, reference filtering, and scenario recommendation data.",2,/studio/create/room-template; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,,no,
components/studio/room-templates/scenario-recommendations-panel,"Displays scenario recommendations including required/optional characters, locations, and NPC registries with action callbacks.",2,/studio/create/room-template; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/room-template-builder,no,
components/studio/storylines/hooks/useStorylineReferenceOptions.js,Fetches reference data for storylines including available room templates and scenarios.,2,/studio/create/storyline; /studio/my-creations/[id]/edit,behavior,no,no,no,no,/dev/ui-preview/storyline-builder-shell,no,
components/studio/storylines/storyline-node-list-editor,Renders list editor for storyline nodes with add/remove/reorder capabilities.,2,/studio/create/storyline; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/storyline-builder-shell,no,
components/studio/storylines/storyline-open-world-settings,Renders editor for storyline open-world settings configuration.,2,/studio/create/storyline; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/storyline-builder-shell,no,
components/studio/storylines/storyline-reference-picker,Modal for selecting existing storyline references with fixture data support.,2,/studio/create/storyline; /studio/my-creations/[id]/edit,presentation_only,yes,yes,yes,yes,/dev/ui-preview/storyline-builder-shell,no,
components/studio/storylines/StorylineReferencePickerModal.jsx,Wrapper component that delegates to a viewmodel to compose the storyline reference picker modal.,2,/studio/create/storyline; /studio/my-creations/[id]/edit,presentation_only,no,no,no,no,/dev/ui-preview/storyline-builder-shell,no,
