page_route,page_purpose,block,control_label,control_type,what_it_does,component_package,shared_or_unique,binding_shell,viewmodel_or_hook,data_source,read_or_write,operation_name,ui_states_present,auth_required,status,notes,max_length,required,default_value,destination_page
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media history grid,All / Images / Videos / Liked / Bookmarked filter pills,tabs,Client-side filters the already-loaded media list by type/liked/bookmarked flags.,components/studio/image-studio/FilterPill.jsx,unique,MediaHistoryGrid,useMediaHistoryGridViewModel,local_state,read,,none,no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media history grid,Filters toggle (mobile),toggle,Shows/hides the filter pill row on narrow viewports.,components/studio/image-studio/media-history-grid/MediaHistoryGrid.view.jsx,unique,MediaHistoryGrid,useMediaHistoryGridViewModel,local_state,none,,none,no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media history grid,Large/Grid mobile density toggle,toggle,Switches the mobile grid between 2-col compact and 1-col large card layout.,components/studio/image-studio/media-history-grid/MediaHistoryGrid.view.jsx,unique,MediaHistoryGrid,useMediaHistoryGridViewModel,local_state,none,,none,no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media history grid,Select / Done (selection mode toggle),toggle,Enters/exits bulk-selection mode for deleting multiple images at once.,components/studio/image-studio/media-history-grid/MediaHistoryGrid.view.jsx,unique,MediaHistoryGrid,useMediaHistoryGridViewModel,local_state,none,,none,no,working,"Only shown when at least one selectable (persisted, non-video) media item exists.",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media history grid (selection mode),Select All Visible / Clear Visible,button,Selects or deselects every currently-filtered selectable image.,components/studio/image-studio/media-history-grid/MediaHistoryGrid.view.jsx,unique,MediaHistoryGrid,useMediaHistoryGridViewModel,local_state,write,,none,no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media history grid (selection mode),Clear,button,Clears the current selection set.,components/studio/image-studio/media-history-grid/MediaHistoryGrid.view.jsx,unique,MediaHistoryGrid,useMediaHistoryGridViewModel,local_state,write,,none,no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media history grid (selection mode),Delete Selected (N),button,"After a window.confirm, deletes every selected image output with 3-way concurrency, removing successes from the grid and leaving failures selected with an error summary.",components/studio/image-studio/media-history-grid/MediaHistoryGrid.view.jsx,unique,MediaHistoryGrid,useMediaHistoryGridViewModel,fe_api_route,write,"deleteImageOutput DELETE /api/media/images/[imageOutputId] (one call per selected id, 3 concurrent workers)","loading (isBulkDeleting/'Deleting...'), error/partial-failure summary message",yes,working,Uses window.confirm and window.alert for confirmation/error surfacing rather than in-page UI.,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media history grid,Generated image card (open),button,Opens the media lightbox for that item when it has a resolved image and is not pending/error.,components/studio/image-studio/media-history-grid/MediaHistoryGrid.view.jsx,unique,MediaHistoryGrid,useMediaHistoryGridViewModel,local_state,none,,"pending ('Generating'), error ('Failed' + message)",no,working,"Pending/error visual states are per-card, driven by item.status set in useImageGenerationHistory/useImageStudioWorkbenchViewModel.",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media history grid card quick actions,Like (heart),toggle,Toggles a LIKE reaction on hover/focus for a card without opening the lightbox.,components/studio/media/media-tile-quick-actions/MediaTileQuickActions.view.jsx,shared,MediaHistoryGrid,useMediaHistoryGridViewModel,fe_api_route,write,setMediaLike POST /api/media/reactions,"error (reactionMessage banner), optimistic toggle with rollback on failure",yes,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media history grid card quick actions,Bookmark,toggle,Toggles a BOOKMARK reaction on a card.,components/studio/media/media-tile-quick-actions/MediaTileQuickActions.view.jsx,shared,MediaHistoryGrid,useMediaHistoryGridViewModel,fe_api_route,write,setMediaBookmark POST /api/media/reactions,"error (reactionMessage banner), optimistic toggle with rollback on failure",yes,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media history grid card quick actions,Expand,button,Opens the lightbox for that card (same as clicking the image).,components/studio/media/media-tile-quick-actions/MediaTileQuickActions.view.jsx,shared,MediaHistoryGrid,useMediaHistoryGridViewModel,local_state,none,,none,no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media history grid,Load More (history pagination),button,Fetches the next cursor page of image generation history and appends it.,components/studio/image-studio/media-history-grid/MediaHistoryGrid.view.jsx,unique,ImageStudioWorkbench,useImageGenerationHistory,fe_api_route,read,fetchImageGenerationHistory GET /api/studio/image-generation/jobs?limit=12&cursor=...,loading ('Loading...'),yes,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media lightbox,Media strip thumbnails (sidebar + mobile),display,Lets the user switch which media item is active inside the lightbox.,components/studio/media/media-lightbox/MediaLightbox.view.jsx,shared,MediaHistoryGrid,useMediaLightboxViewModel,local_state,none,,none,no,working,MediaLightbox is shared with other media surfaces outside this pass's routes.,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media lightbox,Like / Bookmark (header icons),toggle,"Same like/bookmark reaction toggle as the grid quick actions, scoped to the active lightbox item.",components/studio/media/media-lightbox/MediaLightbox.view.jsx,shared,MediaHistoryGrid,useMediaLightboxViewModel,fe_api_route,write,setMediaLike / setMediaBookmark POST /api/media/reactions,none in lightbox itself (relies on parent's reactionMessage banner),yes,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media lightbox,Share,button,"Uses navigator.share if available, otherwise copies the current page URL to the clipboard, and shows a status message.",components/studio/media/media-lightbox/MediaLightbox.view.jsx,shared,MediaHistoryGrid,useMediaLightboxViewModel,none,none,,success/'unavailable' message (shareMessage),no,working,"Shares window.location.href, not a canonical/shareable link to the specific image.",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media lightbox,Download,link,Native browser download of the full-size image via an anchor with the download attribute.,components/studio/media/media-lightbox/MediaLightbox.view.jsx,shared,MediaHistoryGrid,useMediaLightboxViewModel,none,none,,none,no,working,"Only rendered when allowDownload is true, which MediaHistoryGrid sets true for this route.",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media lightbox,Generate Variant,link,Links back to /studio/image-studio (this same route).,components/studio/media/media-lightbox/MediaLightbox.view.jsx,shared,MediaHistoryGrid,useMediaLightboxViewModel,none,none,,none,no,working,Does not carry any of the current image's settings/ingredients forward -- just a static link to the workbench.,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media lightbox,Details,modal-trigger,"Opens a dialog fetching and showing public generation detail rows, plus private prompt/settings rows if the viewer is permitted.",components/studio/media/media-lightbox/MediaLightbox.view.jsx,shared,MediaHistoryGrid,useMediaLightboxViewModel,fe_api_route,read,fetchImageOutputDetails GET /api/media/images/[imageOutputId]/details,"loading, error",yes,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media lightbox,Report,modal-trigger,"Opens a moderation report dialog with a reason dropdown and optional note, and submits a report record for the active image.",components/studio/media/media-lightbox/MediaLightbox.view.jsx,shared,MediaHistoryGrid,useMediaLightboxViewModel,fe_api_route,write,createMediaReport POST /api/media/reports,"loading ('Submitting...'), success ('Report received.'), error",yes,working,Copy clarifies this only creates a moderation record and does not hide/delete the image.,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media lightbox,Remix Soon,button,"Disabled placeholder button, no handler.",components/studio/media/media-lightbox/MediaLightbox.view.jsx,shared,MediaHistoryGrid,,none,none,,none,no,stubbed,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media lightbox,Use as Reference Soon,button,"Disabled placeholder button, no handler.",components/studio/media/media-lightbox/MediaLightbox.view.jsx,shared,MediaHistoryGrid,,none,none,,none,no,stubbed,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media lightbox,More Soon,button,"Disabled placeholder button, no handler.",components/studio/media/media-lightbox/MediaLightbox.view.jsx,shared,MediaHistoryGrid,,none,none,,none,no,stubbed,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media lightbox,Delete Image,button,"After window.confirm, deletes this single image output and closes the lightbox.",components/studio/media/media-lightbox/MediaLightbox.view.jsx,shared,MediaHistoryGrid,useMediaLightboxViewModel,fe_api_route,write,deleteImageOutput DELETE /api/media/images/[imageOutputId],error surfaced via parent deleteMessage + window.alert,yes,working,"Only shown when an onDeleteItem handler is supplied, which MediaHistoryGrid always supplies here.",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/studio/image-studio,Give a creator a workbench for generating and managing AI character/scene artwork.,media lightbox,Close (X),button,Closes the lightbox back to the grid.,components/studio/media/media-lightbox/MediaLightbox.view.jsx,shared,MediaHistoryGrid,useMediaLightboxViewModel,local_state,none,,none,no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),Create > Images
/terms,"Index of Crestfall's draft legal, privacy, safety, and platform-trust policy placeholders.",page head,Terms & Policies (title/eyebrow/lede),display,Static header text plus disclaimer sentence that these are draft placeholders,app/terms/page.js,unique,page-inline,,fixture,read,,none,no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/terms,"Index of Crestfall's draft legal, privacy, safety, and platform-trust policy placeholders.",draft notice banner,Draft Legal Placeholder notice,display,Static amber warning banner explaining copy is placeholder,components/policies/PolicyIndex.jsx,unique,page-inline,,fixture,read,,none,no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/terms,"Index of Crestfall's draft legal, privacy, safety, and platform-trust policy placeholders.",policy card grid,"Policy cards (Terms of Service, Privacy Policy, Content Policy, Content Removal Policy, Moderation Policy, Screening Policy, Complaint Policy, Underage Policy, Anti-Fraud Policy, Sex Trafficking Policy)",link,"Each card links to /terms/[policy.slug], rendering title/summary/category/status from the fixture array",components/policies/PolicyIndex.jsx,unique,page-inline,,fixture,read,,none,no,working,"Data from data/policies.js static array, 10 policies total",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/login,Let a visitor authenticate into Crestfall Studio via Google OAuth or an emailed magic link.,page head,Close (X) icon button,button,Links to / (Link component styled as circular icon button),app/login/page.js,unique,page-inline,,none,none,,none,no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/login,Let a visitor authenticate into Crestfall Studio via Google OAuth or an emailed magic link.,auth card,Continue with Google,button,Calls supabase.auth.signInWithOAuth(provider: google) with redirectTo NEXT_PUBLIC_SITE_URL/auth/callback; disabled while isSubmitting; on error sets message state and re-enables,app/login/page.js,unique,page-inline,,fe_api_route,write,"supabase.auth.signInWithOAuth (Supabase JS client, browser SDK call, not a /api route)","loading (isSubmitting disables button), error (message text rendered below form)",no,working,"Uses lib/supabase/client.js createClient; classified data_source as fe_api_route since it is a direct browser-to-Supabase call via the SDK, not a postgraphile/services-api call and not local-only",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/login,Let a visitor authenticate into Crestfall Studio via Google OAuth or an emailed magic link.,auth card,Email (input),input,"Controlled input bound to email state, type=email, required",app/login/page.js,unique,page-inline,,local_state,write,,none,no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/login,Let a visitor authenticate into Crestfall Studio via Google OAuth or an emailed magic link.,auth card,Send login link,button,"Submits form, calls supabase.auth.signInWithOtp(email, redirectTo) to send a magic login link; disabled while submitting, label switches to Sending... while isSubmitting",app/login/page.js,unique,page-inline,,fe_api_route,write,supabase.auth.signInWithOtp (Supabase JS client),"loading (button label + disabled), error (message text on failure), success (Check your email... message)",no,working,,n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/studio/account/preferences,"Placeholder settings page collecting future default-behavior toggles for filter panels, browse view, Image Studio, creator workflow, and discovery, with save support not yet built.",header,Back to Account,link,"Back link to /studio/account, built inline (this page does NOT use AccountStubPage).",components/studio/studio-back-link,shared,page-inline,,none,none,,none,no,working,"Uses StudioBackLink directly, not AccountStubPage.",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/studio/account/preferences,"Placeholder settings page collecting future default-behavior toggles for filter panels, browse view, Image Studio, creator workflow, and discovery, with save support not yet built.",page defaults card grid,"Community/My Creations/Browsing/Image Studio/Creation Flow/Discovery option buttons (bespoke PreferenceCard, 6 cards x 3 options each)",button,"All option buttons render with the disabled attribute and no onClick handler; they are non-interactive visual placeholders for future default settings, one option per card visually highlighted as the current default.",page-inline,unique,page-inline,,fixture,none,,none,no,stubbed,"Bespoke PreferenceCard defined locally in this page file, distinct from the shared AccountStubPage card used by the other 5 stub pages. Every button element has disabled prop.",n/a (not a create or edit flow row),n/a (not a create or edit flow row),n/a (not a create or edit flow row),unassigned
/studio/create/actor-mechanics-profile,"Compose a reusable actor mechanics profile that binds domain definitions (stats, progression, etc) to an actor while keeping mutable state isolated.",page head,Back to Create,link,Navigates back to /studio/create,components/studio/StudioBackLink,shared,page-inline,,none,none,,none,no,working,,none,none,none,Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,asset identity sidebar,Creation name,input,Sets draft.title,components/studio/create/actor-mechanics-profile/actor-mechanics-profile-builder/ActorMechanicsProfileBuilder.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileBuilderViewModel,local_state,write,,none,no,working,,none,yes,"""""",Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,asset identity sidebar,Description,textarea,Sets draft.description,components/studio/create/actor-mechanics-profile/actor-mechanics-profile-builder/ActorMechanicsProfileBuilder.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileBuilderViewModel,local_state,write,,none,no,working,,none,no,"""""",Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,asset identity sidebar,Visibility,select,Sets draft.visibility (PRIVATE/UNLISTED),components/studio/create/actor-mechanics-profile/actor-mechanics-profile-builder/ActorMechanicsProfileBuilder.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileBuilderViewModel,local_state,write,,none,no,working,,none,no,PRIVATE,Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,asset identity sidebar,Content rating,select,Sets draft.contentRating (SFW/MATURE/EXPLICIT),components/studio/create/actor-mechanics-profile/actor-mechanics-profile-builder/ActorMechanicsProfileBuilder.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileBuilderViewModel,local_state,write,,none,no,working,,none,no,SFW,Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,aside summary panel,Save Draft,button,Validates and POSTs the creation draft; on success routes to /studio/my-creations/[id]/edit,components/studio/create/actor-mechanics-profile/actor-mechanics-profile-builder/ActorMechanicsProfileBuilder.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileBuilderViewModel,fe_api_route,write,actorMechanicsProfileClient.createActorMechanicsProfileDraft (creationClient.createCreationDraft) POST /api/creations,"loading, error",yes,working,app/api/creations/route.js proxies to services-api via crestfallApiClient and requires getAuthenticatedUser,none,none,none,Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,aside summary panel,Errors / Warnings counters,display,Shows validation error/warning counts computed from validateActorMechanicsProfileEditorValue,components/studio/create/actor-mechanics-profile/actor-mechanics-profile-builder/ActorMechanicsProfileBuilder.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileBuilderViewModel,local_state,read,,none,no,working,,none,none,none,Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,profile editor header,JSON Editor,modal-trigger,Opens ActorMechanicsProfileJsonEditorModal for raw-JSON authoring of the whole profile,components/studio/create/actor-mechanics-profile/actor-mechanics-profile-editor/ActorMechanicsProfileEditor.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileEditorViewModel,local_state,both,,none,no,working,,none,none,none,Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,profile editor header,Profile Enabled / Enable Profile,toggle,Flips profile.enabled,components/studio/create/actor-mechanics-profile/actor-mechanics-profile-editor/ActorMechanicsProfileEditor.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileEditorViewModel,local_state,write,,none,no,working,,none,no,true,Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,profile editor stat cards,Owner Scope / Bindings / References / Validation stat cards,display,"Read-only rollup of owner type, enabled binding count, reference count, and validation status",components/studio/create/actor-mechanics-profile/actor-mechanics-profile-editor/ActorMechanicsProfileEditor.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileEditorViewModel,local_state,read,,none,no,working,,none,none,none,Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,profile preset panel,Profile Preset select,select,"Chooses a preset id to stage for application (CUSTOM, FULL_PLAYER_CHARACTER, NARRATIVE_ONLY, BEYOND_SCALE, STATTED_NPC etc)",components/studio/create/actor-mechanics-profile/actor-mechanics-profile-editor/ActorMechanicsProfileEditor.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileEditorViewModel,fixture,write,,none,no,working,preset catalog is a static contract array,none,no,CUSTOM,Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,profile preset panel,Apply Preset,button,"Replaces the current binding structure with the selected preset's bindings/capability policy, preserving owner where compatible",components/studio/create/actor-mechanics-profile/actor-mechanics-profile-editor/ActorMechanicsProfileEditor.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileEditorViewModel,local_state,write,,none,no,working,,none,none,none,Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,profile identity fields,Profile Title,input,Sets profile.title,components/studio/create/actor-mechanics-profile/actor-mechanics-profile-editor/ActorMechanicsProfileEditor.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileEditorViewModel,local_state,write,,none,no,working,,160,yes,"preset.title (e.g. ""Custom"")",Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,profile identity fields,Profile Summary,textarea,Sets profile.summary,components/studio/create/actor-mechanics-profile/actor-mechanics-profile-editor/ActorMechanicsProfileEditor.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileEditorViewModel,local_state,write,,none,no,working,,2400,no,preset.summary text,Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,actor owner section,Binding Mode / Owner Type / Owner Display Name / Owner Reference,select,"Sets owner.bindingMode, owner.ownerType (selects); Owner Display Name and Owner Reference are text inputs for owner.ownerTitle/ownerId. Disabled entirely when ownerContext.locked is true.",components/studio/create/actor-mechanics-profile/actor-mechanics-profile-editor/ActorMechanicsProfileEditor.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileEditorViewModel,local_state,write,,none,no,working,on the create page ownerContext is null so owner is always editable/unlocked,bindingMode/ownerType: none (enums); ownerTitle: none verified; ownerId: none verified,conditional -- ownerId required only when bindingMode=BOUND_ACTOR; others no,bindingMode UNBOUND_TEMPLATE; ownerType preset.ownerType; ownerTitle ''; ownerId null,Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,fixed state policy panel,Isolation / Namespace / Shared Definitions / Shared Mutable State cards,display,"Shows the contract-fixed, non-editable state isolation policy values",components/studio/create/actor-mechanics-profile/actor-mechanics-profile-editor/ActorMechanicsProfileEditor.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileEditorViewModel,local_state,read,,none,no,working,,none,none,none,Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,capability policy section,Capability Mode / Opposed Resolution / Working-Mode Profile / Capability Notes,select,"Sets capabilityPolicy.mode and .opposedResolutionPolicy (selects), Working-Mode Profile (text input, shown conditionally) and Capability Notes (textarea)",components/studio/create/actor-mechanics-profile/actor-mechanics-profile-editor/ActorMechanicsProfileEditor.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileEditorViewModel,local_state,write,,none,no,working,,mode/opposedResolutionPolicy: none (enums); workingModeProfile: 160; notes: 4000,no,mode STANDARD; opposedResolutionPolicy DETERMINISTIC (or WORKING_MODE_ONLY if BEYOND_SCALE); workingModeProfile ''; notes '',Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,domain bindings list,Add Binding,button,Appends a new domain binding (choosing an unused domain) up to the configured limit,components/studio/create/actor-mechanics-profile/actor-mechanics-profile-editor/ActorMechanicsProfileEditor.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileEditorViewModel,local_state,write,,none,no,working,,none,none,none,Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,domain binding card,"Expand/collapse binding, Enabled/Disabled toggle, Move up/down, Remove",button,"Toggles the card open, flips binding.enabled, reorders binding.order, or removes the binding",components/studio/create/actor-mechanics-profile/actor-mechanics-profile-editor/ActorMechanicsProfileEditor.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileEditorViewModel,local_state,write,,none,no,working,,none,none,none,Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,domain binding card (expanded),Binding ID / Domain / Display Title / Activation Mode / Activation Domains / Required binding / Binding Notes,input,"Edits binding.id, domain (select), title, activation.mode (select), activation.domains (comma text), required (checkbox), notes (textarea)",components/studio/create/actor-mechanics-profile/actor-mechanics-profile-editor/ActorMechanicsProfileEditor.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileEditorViewModel,local_state,write,,none,no,working,,Binding ID: 96; Domain/Activation Mode: none (enums); Display Title: none verified; Activation Domains: 24-entry count cap (not char length); Binding Notes: 4000,"Binding ID: yes; Required checkbox: no (boolean, default false); others: no",id auto-generated pattern; domain STATS; title '' /domain label; activation.mode ON_DEMAND; activation.domains []/[domain]; required false; notes '',Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,domain binding card - reusable definitions,Select/Replace Stats & Pools Profile,modal-trigger,Opens RegistryLinkedCreationPickerModal filtered to STATS_POOLS_PROFILE creations and attaches the chosen creation as a reference on the STATS binding,components/studio/create/actor-mechanics-profile/actor-mechanics-profile-editor/ActorMechanicsProfileEditor.view.jsx,shared,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileEditorViewModel + useRegistryLinkedCreationPickerViewModel,fe_api_route,read,creationClient.fetchOwnedCreations GET /api/creations,"loading, empty, error",yes,working,"picker modal is components/studio/create/structured-registry/RegistryLinkedCreationPickerModal, shared with other builders",none,none,none,Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,domain binding card - reusable definitions,Select/Replace Progression Profile,modal-trigger,Opens RegistryLinkedCreationPickerModal filtered to PROGRESSION_PROFILE creations and attaches the chosen creation as a reference on the PROGRESSION binding,components/studio/create/actor-mechanics-profile/actor-mechanics-profile-editor/ActorMechanicsProfileEditor.view.jsx,shared,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileEditorViewModel + useRegistryLinkedCreationPickerViewModel,fe_api_route,read,creationClient.fetchOwnedCreations GET /api/creations,"loading, empty, error",yes,working,,none,none,none,Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,domain binding card - reusable definitions,Add Reference / Remove Reference,button,"For non-managed (generic) domains, adds or removes a generic reference row with Reference Type / Source ID / Display Title / Definition Version fields",components/studio/create/actor-mechanics-profile/actor-mechanics-profile-editor/ActorMechanicsProfileEditor.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileEditorViewModel,local_state,write,,none,no,working,,none,none,none,Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,JSON editor modal,Copy JSON / Download AI Guide / Format JSON / Reset from Builder / Cancel / Validate & Apply / Close (X),button,"Clipboard-copies the JSON, downloads a static authoring guide file, pretty-prints the textarea JSON, resets the textarea to the builder's current value, closes without applying, or parses+validates+applies the edited JSON back into the builder as one replacement",components/studio/create/actor-mechanics-profile/actor-mechanics-profile-json-editor,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileJsonEditorViewModel,local_state,both,,"error (compliance errors), none for loading/empty",no,working,"Download AI Guide writes a static file client-side, no network call",none,none,none,Create > Studio
/studio/create/actor-mechanics-profile,Compose a reusable actor mechanics profile.,JSON editor modal,Authored Actor Mechanics Profile JSON,textarea,Freeform JSON text the creator edits directly before Validate & Apply,components/studio/create/actor-mechanics-profile/actor-mechanics-profile-json-editor/ActorMechanicsProfileJsonEditorModal.view.jsx,unique,ActorMechanicsProfileBuilderShell,useActorMechanicsProfileJsonEditorViewModel,local_state,write,,none,no,working,,"none (textarea itself); downstream parsed-object fields keep their own caps (title 160, summary 2400, notes 4000, identifier 96, sourceId 256, version 96, workingModeProfile 160)",yes (Validate & Apply disabled when blank),"formatActorMechanicsProfileJsonData(actorMechanicsProfile, ownerContext) -- current profile pretty-printed, not a static default",Create > Studio
/studio/create/character,Guided multi-step flow to draft a new AI-controlled Crestfall character.,page head,Back to Create,link,Navigates back to /studio/create.,components/studio/StudioBackLink.jsx,shared,page-inline,,none,none,,none,no,working,"Static Next Link, same component used by all four assigned routes.",none,none,none,Create > Studio
